,from_cluster,to_cluster,tokens_n,chars_n,from_cluster_chars_n,to_cluster_chars_n,from_cluster_tokens_n,to_cluster_tokens_n,from_cluster_in_degree,to_cluster_in_degree,from_cluster_out_degree,to_cluster_out_degree,from_cluster_law_names,to_cluster_law_names,from_cluster_bipartite,to_cluster_bipartite,chars_n_fraction_of_from_cluster,chars_n_fraction_of_to_cluster,tokens_n_fraction_of_from_cluster,tokens_n_fraction_of_to_cluster,event_category
234,1994_184,1995_185,13990,89365,103921,103921,16267,16267,0,1,1,1,"420_1994,27","420_1995,27",1994,1995,0.8599320637792169,0.8599320637792169,0.8600233601770455,0.8600233601770455,stasis
236,1994_186,1995_171,9473,58389,64529,64529,10456,10456,0,1,1,1,"220_1994,39","220_1995,39",1994,1995,0.9048489826279658,0.9048489826279658,0.9059869931140015,0.9059869931140015,stasis
238,1994_188,1995_175,9121,56968,67132,67132,10676,10676,0,1,1,1,"310_1994,32","310_1995,32",1994,1995,0.8485967943752607,0.8485967943752607,0.8543461970775571,0.8543461970775571,stasis
240,1994_190,1995_125,41311,250206,317570,368578,52115,60608,0,2,1,2,"260_1994,97,310_1994,1","260_1995,97,180_1995,29,310_1995,1",1994,1995,0.7878766886040873,0.6788413849985621,0.792689244939077,0.6816096884899683,merge
242,1994_192,1995_197,7923,50784,53837,53505,8354,8296,0,1,1,1,"440_1994,45,430_1994,35","440_1995,45,430_1995,35",1994,1995,0.9432917881754184,0.9491449397252594,0.9484079482882452,0.9550385728061717,stasis
244,1994_194,1995_204,7956,48250,51925,51925,8545,8545,0,1,1,1,"270_1994,21,190_1994,6","270_1995,21,190_1995,6",1994,1995,0.9292248435243139,0.9292248435243139,0.9310708016383851,0.9310708016383851,stasis
245,1994_195,1995_200,8654,49379,50409,50014,8808,8746,0,1,1,1,"300_1994,53,430_1994,6","300_1995,53,430_1995,6",1994,1995,0.9795671407883513,0.9873035550045988,0.9825158946412352,0.989480905556826,stasis
246,1994_196,1995_199,5984,34563,34604,34604,5984,5984,0,1,1,1,"300_1994,33,430_1994,12","300_1995,33,430_1995,12",1994,1995,0.9988151658767772,0.9988151658767772,1.0,1.0,stasis
247,1994_197,1995_203,21858,128997,136186,136186,22962,22962,0,1,1,1,"330_1994,148","330_1995,148",1994,1995,0.9472119013701849,0.9472119013701849,0.9519205644107656,0.9519205644107656,stasis
249,1994_199,1995_205,14472,90841,112645,112658,17905,17901,0,1,1,2,"200_1994,32","200_1995,32",1994,1995,0.8064361489635581,0.8063430914804097,0.8082658475286233,0.808446455505279,stasis
250,1994_200,1995_86,46049,302831,349545,392002,53006,59650,0,2,1,1,"200_1994,77,100_1994,4","200_1995,106,100_1995,4",1994,1995,0.8663576935730736,0.7725241197748991,0.8687507074670792,0.7719865884325231,stasis
251,1994_201,1995_206,36482,240435,280382,280020,42404,42331,0,1,1,1,"200_1994,116,290_1994,3","200_1995,116,290_1995,3",1994,1995,0.8575265173941266,0.8586350974930362,0.8603433638336005,0.8618270298362902,stasis
255,1994_205,1995_221,11685,76223,93550,93519,14237,14233,0,1,1,1,"490_1994,41","490_1995,41",1994,1995,0.8147835382148584,0.8150536254664827,0.8207487532485777,0.8209794140377995,stasis
262,1994_209,1995_225,15212,99122,123126,123126,18697,18697,0,1,1,1,"490_1994,43","490_1995,43",1994,1995,0.8050452382112633,0.8050452382112633,0.8136064609295609,0.8136064609295609,stasis
266,1994_213,1995_214,9548,58694,67197,67182,10897,10897,0,1,1,1,"100_1994,46","100_1995,46",1994,1995,0.8734616128696222,0.8736566342174987,0.8762044599431036,0.8762044599431036,stasis
267,1994_214,1995_215,16301,100696,117038,116846,18840,18840,0,1,1,2,"100_1994,49","100_1995,49",1994,1995,0.860370136195082,0.8617838864830631,0.8652335456475584,0.8652335456475584,stasis
268,1994_215,1995_216,12135,77816,88094,88094,13675,13675,0,1,1,1,"100_1994,38","100_1995,38",1994,1995,0.8833291711126751,0.8833291711126751,0.8873857404021938,0.8873857404021938,stasis
275,1994_221,1995_210,6906,42873,43348,43348,6973,6973,0,1,1,1,"070_1994,53","070_1995,53",1994,1995,0.9890421703423457,0.9890421703423457,0.9903915101104259,0.9903915101104259,stasis
